Product Name,Rating,Price,Shop,Category,date
The Psychology of Money,4.6,321.0,amazon,books,2022-04-20 22:07:22.585812
Word Power Made Easy,4.4,98.0,amazon,books,2022-04-20 22:07:22.585812
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for childre",4.6,155.0,amazon,books,2022-04-20 22:07:22.585812
The India Way: Strategies for an Uncertain World,4.5,454.0,amazon,books,2022-04-20 22:07:22.585812
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,4.6,372.0,amazon,books,2022-04-20 22:07:22.585812
Ikigai: The Japanese secret to a long and happy life,4.6,405.0,amazon,books,2022-04-20 22:07:22.585812
It Ends With Us: A Novel: Volume 1,4.6,228.0,amazon,books,2022-04-20 22:07:22.585812
27 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2021) 12th Edition,4.5,344.0,amazon,books,2022-04-20 22:07:22.585812
The Power of Your Subconscious Mind,4.5,125.0,amazon,books,2022-04-20 22:07:22.585812
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Ki",4.4,189.0,amazon,books,2022-04-20 22:07:22.585812
Attitude Is Everything: Change Your Attitude ... Change Your Life!,4.5,146.0,amazon,books,2022-04-20 22:07:22.585812
Quanta Quantitative Aptitude by Aashish Arora (English Medium)(3662),-1.0,420.0,amazon,books,2022-04-20 22:07:22.585812
My First Library: Boxset of 10 Board Books for Kids,4.5,399.0,amazon,books,2022-04-20 22:07:22.585812
Quantitative Aptitude for Competitive Examinations,4.4,464.0,amazon,books,2022-04-20 22:07:22.585812
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,4.7,228.0,amazon,books,2022-04-20 22:07:22.585812
Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories,4.3,240.0,amazon,books,2022-04-20 22:07:22.585812
Mathematics for Class 10 - CBSE - by R.D. Sharma Examination 2022-23,4.4,539.0,amazon,books,2022-04-20 22:07:22.585812
Indian Polity ( English| 6th Revised Edition) | UPSC | Civil Services Exam | State Administrative Exams,4.4,649.0,amazon,books,2022-04-20 22:07:22.585812
The Alchemist,4.6,250.0,amazon,books,2022-04-20 22:07:22.585812
"MTG Objective NCERT at your FINGERTIPS - Biology, Best NEET Books (Based on NCERT Pattern - Latest & Revised Edition 2022)",4.6,569.0,amazon,books,2022-04-20 22:07:22.585812
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,4.4,499.0,amazon,books,2022-04-20 22:07:22.585812
"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life | Inspirational Zen book on motivation, self-development",4.6,215.0,amazon,books,2022-04-20 22:07:22.585812
CBSE All In One Social Science Class 10 2022-23 Edition,4.8,494.0,amazon,books,2022-04-20 22:07:22.585812
Oswaal CBSE Term 2 English Science Social Science & Math Standard Class 10 Sample Question Paper (Set of 4 Books) (For Term-2,4.7,382.0,amazon,books,2022-04-20 22:07:22.585812
Mathematics for Class 9 - CBSE - by R.D. Sharma Examination 2022-23,4.6,499.0,amazon,books,2022-04-20 22:07:22.585812
Brain Activity Book for Kids - 200+ Activities for Age 3+,4.5,95.0,amazon,books,2022-04-20 22:07:22.585812
DO EPIC SHIT,4.5,285.0,amazon,books,2022-04-20 22:07:22.585812
